userName,score,Date,content
Yoakim Nabut,5,12/27/2021 17:16,Mohon lebih cepat lagi konfirmasinya kepda pihak pln yang dituju. Trima kasih
Slamet Raharjo,5,12/27/2021 17:15,"Ibu,Bapak ,mba, abang Pln, ni saya mau menyampaikan keluhan, soal jaringan yg ada diwilayah kami, keluhanya soal travo yg sudah terpasang, dari pertama pengukuran, anggaran travo 3 untuk wiliyah kami dan tiang tempat travo dah stanby, tapi yg dipasang baru satu, dan pelanggan yg sudah pasng kwh 450 ,dan masih banyak yg blum pasang, jadi untuk lampu saat ini sangat redup, mohon bantuanya, terima kasih"
Didik prastiawan,5,12/27/2021 17:12,Semoga kinerja semakin memuaskan
Neti Neti,5,12/27/2021 17:08,Lebih efektif... Lebih cepat.. Fast respon.. Untk wilayah cikupa kab tangerang pelayanan skrng jd lebih baik.. Mhn pertahankan
Hendra Putra,5,12/27/2021 17:07,App yang bermanfaat
Yitno Suyitno,5,12/27/2021 16:57,Trim.s....PLN Mobile sy sangat terbantukan dng aplikasi ini pokok nya the best layanan nya mantap
Rudi Yanto,4,12/27/2021 16:50,Baik dan tepat
Amirboy Amirboy,5,12/27/2021 16:48,Pelayanan sangat baik sekali
Sahrim Sahrim,4,12/27/2021 16:46,Aplukasi ini sangat bagus.
Toto Yunarto,4,12/27/2021 16:33,Sangat membantu
Angga kesumah,5,12/27/2021 16:29,Pelayanan cepat
Acek Aan,5,12/27/2021 16:05,Sangat menguntungkan pakai aplikasi PLN Mobile .saat terjadi pemadaman ada pemberitauan jdi kita bisa lansung tau..pembayaran tagihan pun gampang..
Hendra Setiyawan,2,12/27/2021 16:01,"Pengaduan PLN sekarang lama, hampir 2 jam padam gak ada yg ngecek kesini"
rendifajar0209 Fajar,5,12/27/2021 15:57,Aplikasi sangat membantu
Sri Rahayu,5,12/27/2021 15:48,Semoga slalu melayani dg baik
Kail Pancing Viky,5,12/27/2021 15:29,Bagus aja bgi yg tau
Heri Heri,5,12/27/2021 15:11,"Pln Mobile keren, Maju terus Pln mobile"
Elas Nurjanah,5,12/27/2021 15:07,Semoga Iconet bisa tercover di daerah desa desa
mula terang,3,12/27/2021 15:06,Lebih peka terhadap keinginan konsumen
Ans Safitry,5,12/27/2021 15:00,Aplikasi bisa digunakan dengan baik Semoga seterusnya semakin membaik.
HP PALAS,5,12/27/2021 14:49,App sangat membantu
Muhammad Irham,5,12/27/2021 14:49,"Terimakasih sudah menjelaskan terkait penanganan laporan kami di pln mobile , respon dari petugas baik semoga tetap menjaga semangat kerja bapak2"
Ketut Sudika,5,12/27/2021 14:48,"Mantap PLN Mobile, cepat tanggap dalam pelayanan pengaduan"
tonny qlickers,5,12/27/2021 14:43,"Tambah mudah,simpel dan cepat pelayanannya."
ekho plus,5,12/27/2021 14:39,"Sangat membantu sekali, praktis."
Muji Rowopucang,5,12/27/2021 14:32,PLN mobile memudahkan kita mencari segala informasi tentang PLN. Pokoknya sipdah
Daniel Halomoan Pakpahan,5,12/27/2021 14:08,"Saya pensatang baru, semoga PLN bisa memberikan pelayanan terbaiknya.. ðŸ˜‡ðŸ™"
Fajar Ana,5,12/27/2021 14:03,"Aplikasi yg sangat membantu sekali,tanpa harus keluar rumah dan bebas calo"
budi awan,5,12/27/2021 14:03,"Aplikasinya sangat membantu,laporan masalah listrik bisa lgsg ditangani GK pake ribet.mantabðŸ‘"
galih mohammed,5,12/27/2021 13:57,Udh bagus keren setelah di update
johan purwadi,5,12/27/2021 13:54,kalau meter gak kelihatan saldonya.terus yg tertulis di layarnya.periksa.bagaiman solusinya.mohin info nya
Atep Wayang,5,12/27/2021 13:52,sangat membantu
agus tianda,5,12/27/2021 13:39,Pelayanan bagus terutama untuk rayon indralaya. Wilayah tg seteko yang mati karena tiang roboh kemaren cepat teratasi. Petugas sigap lagsung merespon pengaduan lewat pln mobile. Terimaksih
Shirotul Jannah,5,12/27/2021 13:29,"Simpel, banyak info, gak rugi download"
Widiana 1207,5,12/27/2021 13:07,Susah verivikasinya
Rendy Oskar reza,5,12/27/2021 12:57,Pelayanannya cepat dan ramah.
Sai Fuddin,5,12/27/2021 12:54,Aplikasinya bagus dan semakin mudah#PLN terus berjaya
Wayan Di,1,12/27/2021 12:51,"Sdh saya lakukan tetap gk bisa, memori masih free banyak"
mukhtar baru,2,12/27/2021 12:15,Untuk pembayaran dengan dompet digital diperbanyak.
Sulasi Humairoh,5,12/27/2021 12:06,Sangat membantu
Arya Gofarana,1,12/27/2021 12:00,"Saya geram terhadap oknum yang memeras rakyat kecil,, apa apa harus bayar padahal tertera tidak di pungut biaya,,,,. Percuma"
totok ozora,5,12/27/2021 11:12,Semua urusan yang menyangkut listrik PLN jd lebih mudah
ali sobri,5,12/27/2021 10:24,PLN semakin didepan..
Amrullah Amru,5,12/27/2021 10:09,Berharap jaringan iConNet sampe rumah & sampe ke pelosok
Aditya Indrawan,5,12/27/2021 9:57,"Assalamualaikum wr.wb , utk pelayanan perbaikan pemadaman sdh lumayan baik, walaupun ada sedikit keterlambatan di area rayon timur kota Palangkaraya (Jl.Pasir Panjang) pada tgl 25-12-2021"
Mangcek Budi,5,12/27/2021 9:36,"fast response,lapor masalah token gagal input. lapor jam 20:50 Wib,jam 20:57 di telpon operator PLN,jam 21:05 di pandu team PLN untuk masukin kode ke token dan problem selesai. mantap ðŸ‘ sangat membantu"
Asep Hart,5,12/27/2021 9:21,Semua solusi ada disini
fandi simanjuntak,5,12/27/2021 9:08,Applikasi ini sangat bagus mempermudah semua kebutuhan listrik jaya selalu pln
Nur Lidi,5,12/27/2021 8:36,Tuk PLN mohon dperbaiki lg tingkat pelayanannya. Terimakasih
ombirin,1,12/27/2021 7:08,layanan e drung apik
Eko Pratomo,5,12/27/2021 6:45,"bagus, banyak bisa nya"
Hendratno,1,12/27/2021 6:32,Pangeaduan keluhan masa harud nunggu 2 hari
Rendy Septiyana,4,12/26/2021 23:33,Kasih4 dulu klo mantaf di tambah
Ofit Setiawan,3,12/26/2021 23:26,"pada versi terbaru, metode pembayaran pakai LinkAja dihilangkan, jadi percuma settingÂ² buat nge-link aplikasi"
Eriyo Budi Susetyo,5,12/26/2021 23:02,Sebuah terobosan yg sangat baik dari PLN... Semoga PLN lebih maju ke depannya.
Mundi Sudi,5,12/26/2021 22:27,Bagus dan sangat membantu dengan Aplikasi PLN Mobile
Echsan sutarto,5,12/26/2021 21:46,Mantap PLN joss semakin majuðŸ‘ðŸ‘
Joel Ponco,5,12/26/2021 21:37,"BAGUUUUSSS...MANTABS... isi kode referall ( U K H V 2 X ) saat daftar khusus buat pengguna baru utk mendapatkan bonus kupon undian. Aplikasi mudah, bagus, cakep dalam 1 gengaman dapat memudahkan transaksi pembayaran kita dan komplainan.."
Melisa Onlianti,3,12/26/2021 19:50,"Saya masih belum bisa beli listrik 5000 di aplikasi pln, padahal kalo bisa sangat membantu, dan kalo bisa metode pembayaran ditambah, saya pengguna Dana, ada baiknya klo bisa. Terimakasih"
Khanif Zulqarnaen,5,12/26/2021 19:29,sangat membantu
Hezi Septi Iliana,1,12/26/2021 18:48,Kok ngga bisa isi pengaduan?
Noor Sariyani,5,12/26/2021 18:23,"Terang, terus terang Walau hujan dan badai datang Tetap terang benderang"
Risang Setiyoko,5,12/26/2021 18:13,"sangat membatu dalam pembayaran tagihan, dan sangat cepat penanganan saat ada gangguan padam listrik"
Fiqie Kautsar,1,12/26/2021 18:10,Login aja susah bukan main ðŸ¤®ðŸ¤®
Rahman Syah,3,12/26/2021 17:33,Sudah berapa kali coba untuk masuk..selalu di tolak
dipi siami yanto,1,12/26/2021 17:00,"Untuk pemasangan baru kenapa lama sekali, jikalaupun ada kendala apa tidak bisa diinformasikan kecalon pelanggan, sebab kalau mengacu pada SOP pemasangan harusnya 25 hari kerja ( tidak terhitung libur nasional sabtu & minggu ). Padahal setiap pelanggan baru wajib mencantumkan no Hp, tapi kenapa tidak ada informasi. ðŸ™"
Ati Ati,5,12/26/2021 16:58,PLN mobile terbaik
Nasrullah Thaha,5,12/26/2021 16:36,Sangat bermamfaat
Hasbi Yasin,4,12/26/2021 16:32,"Notifikasi info pemadaman tidak akurat, katanya sdh nyala, tp smp satu jam lbh dari notifikasi blm nyala juga"
Muhammad Subhan ma'mun,1,12/26/2021 15:07,"Jika terjadi gangguan, petugas tidak pernah sampai kerumah buat mengecek kondisi keadaan listrik dirumah"
Hendri Karisma,1,12/26/2021 14:48,"Inferner Iconnet lu pelayanannya jelek, susah, lama reponsnya, bayar hrs full. 2 jam mati dianggap normal"
Eli Ermawati,5,12/26/2021 14:32,PLN Mobile mantap transaksi makin mudah Terima Kasih PLN
bagus setyo utomo,5,12/26/2021 13:34,Sangat membantu
Sahrul Fahad,5,12/26/2021 12:47,Yuk semua bersama-sama kita dukung PLN untuk terus menjadi baik kedepannya
Akun Game,5,12/26/2021 12:07,PLN mobile terbaik
Sugeng joko W,4,12/26/2021 11:56,Semoga sesuai dengan komitmen PLN.
Muhammad Khamdani dodolan,5,12/26/2021 11:45,Silahkan pakai kode referal saya CLBFLM Terimakasih
Nur Laila,5,12/26/2021 11:38,PLN mobile terbaik
Alie Zone,5,12/26/2021 10:00,PLN jaya selalu
